File,Clear Centroid,Clear Mean,Wiener Centroid,Wiener Mean,Lib Wiener Centroid,Lib Wiener Mean,Noised Centroid,Noised Mean
85.wav,864.539767775898,0.0018299841,845.4162733959525,0.0003045967,1373.2672224481912,0.0024782987,1373.557519535693,0.0024736193
86.wav,996.3228588892722,0.0009942247,496.03716741659974,6.529569e-05,1286.960752936386,0.0014074252,1285.7617315795617,0.001395442
87.wav,666.1911369655044,0.00021511341,417.12660759676606,3.378136e-05,1254.8193141243003,0.0011765062,1251.7926055646237,0.0011402391
88.wav,398.2836877733996,2.8916413e-05,469.93976483126306,7.3819385e-05,1490.0592321110648,0.0027803357,1486.808336997508,0.0027632166
89.wav,424.2519273169382,8.675851e-05,2381.758022317461,0.01419679,2685.0952635025596,0.02680649,2682.8630021863537,0.02660189
9.wav,2208.035474786095,0.013708132,1640.6492924354782,0.0039432533,2783.642895227088,0.028534109,2779.291258451025,0.028129267
90.wav,657.2935262288361,0.00021305782,1750.7999956820968,0.004759904,2167.8811994713883,0.0132522825,2162.204858762338,0.0127989985
91.wav,663.3446321075141,0.00042342584,524.2281170470958,7.1734685e-05,1430.3601692996572,0.001761167,1429.6772743134045,0.0017422396
92.wav,1803.4263098842355,0.0061077327,505.4848736874783,7.42654e-05,1567.5431912742897,0.002254426,1566.8168790409788,0.0022232535
93.wav,1707.0342727493921,0.009905567,1801.6769281138022,0.0036553994,2557.1964524749983,0.0140757635,2557.08101687992,0.014070212
94.wav,1679.495575749769,0.0064290185,1190.666606491095,0.0021960272,1907.1434536624251,0.011221656,1909.385200848304,0.011266879
95.wav,1081.1959881508076,0.00076736347,1185.0712412435298,0.0018256758,1801.2758906884437,0.007548226,1799.9178986106626,0.007527661
96.wav,1662.7055291252045,0.0029694575,944.2123761677835,0.00030464455,1478.5897490439852,0.002203963,1478.1129272675732,0.002188913
97.wav,1082.9681121510416,0.0006684167,2333.897372583562,0.013040512,3072.075131135111,0.030569829,3075.659040485195,0.030633086
98.wav,1199.9851268672446,0.0020663757,2805.5011088585325,0.017828062,3313.2049138067446,0.031992804,3315.3933495402125,0.032134145
99.wav,1266.6058265862664,0.0011023507,1379.400757999746,0.0013132541,1945.6662470449173,0.00630784,1947.2979533554224,0.0063246153
